slides-contrast	done	2026-08-12 23:02	WCAG check in parser.js validate(); verified CLI+browser; pushed as c6215cd via https workaround
deck-rail	done	2026-08-19 21:27	footer:rail renders on every non-title slide; verified in player + Reveal fixed rail + Marp footer directive + PPTX bottom text. Decks that declare neither key are byte-identical to before.
agenda	done	2026-08-19 21:27	agenda auto derives from divider headings; verified it read 2 dividers in the smoke deck and 2 in the starter template. Section eyebrow shows 1 of 2 / 2 of 2.
placeholder	done	2026-08-19 21:27	image and media with no src render a labelled dashed frame; Marp emitted an empty ![]() until it was fixed to write the gap in words.
table	done	2026-08-19 21:27	columns/rows/align/highlight/caption; PPTX uses a real a:tbl (verified by unzipping the generated file). Two CSS defects found by screenshot and fixed: the highlight bar repeated on every cell, and the caption floated away from the table.
grid	done	2026-08-19 21:27	2-4 columns, cards or plain, optional glyph; columns derived from item count when unset.
media	done	2026-08-19 21:27	copy column beside a full-bleed figure, either side; rail padding handled per-type since the slide drops its own padding.
examples	done	2026-08-19 21:51	7 decks now live as files under deck-library/decks/, so 'node validate.mjs deck-library/decks' checks every example the library hands out (all 7 clean). 4 are new bases: exec review, design review, workshop (light theme), launch (the gradient one). Library page fetches them instead of holding escaped strings; added Copy YAML with an execCommand fallback after the Clipboard API refused on an unfocused document. 3 demo SVGs so image/media/logo show something real.
backgrounds	done	2026-08-19 21:51	llms.txt hand-authored (marker removed; generator dry-run now lists it under 'hand-authored, left untouched') with a three-layer explanation of theme vs background vs pattern. The trap it documents is enforced: a slide background whose average hex luminance falls under 4.5:1 against the deck's text colour now warns with the ratio. Tripped it on a meadow deck with 'background: ocean' (1.1:1); launch.yaml with four gradients on a dark theme stays clean.
types-r10	done	2026-08-19 22:18	matrix, people, checklist, compare, appendix across player + audit + Marp + PPTX + Reveal. Appendix is the structural one: page numbers switch to an A-series, the main count stops at the marker, and density plus flow checks read the main deck only. Verified by a 6-bullet backup slide in postmortem.yaml that passes clean and would warn in the talk.
cat-setup	done	2026-08-19 22:18	Catalog now has nine sections: start from a deck, structures, types, gradients, patterns, theme, setup, brand, glyphs. Theme swatches switch the live preview and write theme:; setup fields write or clear deck keys; brand pickers write a nested brand: block and show the live ratio, red below threshold (caught 2.9:1 on text-on-accent during testing); glyphs insert at the cursor.
decks-r10	done	2026-08-19 22:18	postmortem, onboarding, all-hands, qbr, conf-talk. All 12 decks validate clean and now live behind decks/index.json, a manifest shared by the library page and the Catalog so the two lists cannot disagree.
skill-recon	done	2026-08-20 08:05	4 agents, 7 skills requested, 5 installed + 1 fetched by hand + 1 unavailable. Yield is low but real: 4 agents independently converged on the speaker-note export loss, 3 independently argued against building a mermaid/diagram type (its own authors document it as rendering blank, Marp has no built-in support, pptxgenjs would forfeit editable text, and mermaid's parser breaks on accented characters, which matters for Spanish decks). New verified gaps: alt text unchecked, audit tips coupled to warning prose by regex, stats/timeline limits documented but unenforced, unlabelled split columns. Two skills were worthless: one is a content-free generated stub requesting Write/Edit/Bash, the other a persona wrapper with a silent glob loader.
review-agents	done	2026-08-20 08:29	3 agents: decks, UI, exports. The UI pass found five blockers I had shipped, all now fixed and verified in a browser: ?yaml= was decoded twice so five of twelve library decks opened an empty editor (URLSearchParams.get already decodes, and any lone % threw URIError); the Catalog sat at z-index 60 under a 200 header so three of four tabs and the close button were unclickable; the standalone HTML export read document.styleSheets[0], which is the cross-origin CDN reset, so it threw SecurityError and produced nothing while a stale toast read as success; every dialog rendered at 0,0 and 6% opaque because the global reset zeroed the margin that centres a modal dialog and --surface-2 is translucent; and the editor was a WCAG 2.1.2 keyboard trap because preventDefault ran before the Shift branch.
